I	27342	43891	1	1	0	1	0	12
I	59491	81430	2	2	0	1	0	12
I	72285	86958	2	2	0	0	1	13
I	84461	165639	2	2	0	29	0	13
I	87388	87500	1	1	1	6	0	47
I	107038	139653	2	2	0	0	1	14
I	120720	140941	2	2	0	0	1	14
I	121777	162569	1	1	0	2	0	18
I	123864	165646	1	1	0	5	30	14
I	128522	129021	2	2	0	1	0	19
I	142254	142619	1	1	1	265	0	50
I	145330	165712	1	1	0	1	0	12
I	160161	162706	2	2	0	0	1	13
I	160532	165829	1	1	0	1	0	15
I	160861	172753	1	1	0	8	48	15
I	161001	170934	1	1	0	2	0	17
I	162592	163325	1	1	0	1	0	42
I	165635	165682	1	1	0	42	35	14
I	205843	205977	1	1	0	0	1	34
I	205843	206247	1	1	0	0	1	34
I	205843	206382	1	1	0	0	1	34
